<<<<<<< HEAD
LogMarijuana,LogPriceMarijuana,LogPriceCocaine,LogPriceCrack,YearsEducation,Age,Dealer,Female,PhysicalHealthGood,MentalHealthGood
4.787491743,7.195437401,9.141139854,7.60090246,15,21,0,0,1,1
1.386294361,6.907755279,8.581731744,7.418580863,17,29,0,0,1,1
1.791759469,8.111728073,8.517193191,8.517193191,12,48,0,0,1,1
3.252161925,8.517193191,9.210340372,8.2280285,10,27,1,0,1,1
3.871201011,8.517193191,9.618025215,6.907755279,4,26,1,0,0,1
1.162208929,8.987196821,9.576965617,7.60090246,24,30,0,0,1,1
4.138796377,7.195437401,9.210340372,7.567000942,12,24,0,0,1,1
1.014529238,8.006367568,9.224133705,7.60090246,19,37,1,1,1,1
0.626353478,8.29404964,9.576965617,7.941730268,18,24,1,1,0,0
2.48490665,8.111728073,7.824046011,7.418580863,14,32,0,0,0,1
2.995732274,8.006367568,8.699514748,8.354674262,2,60,1,0,1,1
2.079441542,7.60090246,8.793701995,8.2280285,6,25,0,0,0,1
3.469085661,7.60090246,9.210340372,7.567000942,14,26,1,0,1,1
0.693147181,9.210340372,9.210340372,7.418580863,19,53,0,0,1,1
1.386294361,6.907755279,9.903487553,7.418580863,12,27,0,0,1,1
2.995732274,7.60090246,8.793701995,6.907755279,6,58,0,0,0,1
0,6.873853751,9.903487553,6.907755279,15,59,0,1,0,1
4.094344562,8.006367568,8.890943734,8.010064426,4,29,1,0,1,1
2.708050201,7.888584544,8.890943734,8.010064426,6,52,1,0,1,1
0,6.907755279,9.123328922,8.2280285,14,28,1,0,1,1
2.079441542,7.824046011,9.224133705,7.60090246,15,23,1,0,1,0
0,7.923136926,9.105821302,6.907755279,15,24,0,0,1,1
2.995732274,7.60090246,9.105821302,6.907755279,14,29,0,0,1,0
1.791759469,7.963807953,8.699514748,8.354674262,17,24,0,0,1,1
1.945910149,7.957577383,8.517193191,8.010064426,7,41,0,0,1,1
4.634157757,8.006367568,8.890943734,8.010064426,14,24,0,0,1,1
1.791759469,7.418580863,9.903487553,6.907755279,18,27,1,0,1,1
2.590267065,7.60090246,8.853665428,7.60090246,14,24,1,0,1,1
0.693147181,7.975712018,9.224133705,7.60090246,17,23,1,0,1,1
1.386294361,7.60090246,9.498022419,7.418580863,15,22,0,1,1,0
4.382026635,7.60090246,9.498022419,7.418580863,13,19,1,0,1,1
0,8.9226583,8.793701995,8.2280285,17,28,0,1,1,1
2.079441542,9.210340372,8.793701995,8.2280285,10,19,1,0,1,1
5.991464547,8.006367568,8.911485044,6.987797956,10,25,0,0,1,1
3.352407267,6.907755279,9.141139854,7.567000942,12,27,1,0,1,1
0,7.60090246,9.903487553,8.2280285,8,20,1,0,1,1
2.772588722,7.824046011,9.141139854,7.567000942,15,32,1,0,0,0
2.48490665,8.753581917,9.210340372,7.567000942,12,30,0,1,1,1
1.296092099,8.041110482,9.903487553,6.907755279,17,31,0,1,1,0
5.480638923,6.907755279,9.903487553,7.418580863,15,28,1,0,1,1
3.688879454,7.60090246,9.952277717,8.079549192,15,49,0,0,1,1
2.995732274,8.29404964,9.618025215,6.907755279,10,21,1,0,1,0
3.951243719,8.254828915,8.411832676,8.2280285,5,28,1,0,0,0
2.294077425,8.517193191,8.9226583,7.418580863,12,34,0,0,1,1
5.298317367,8.987196821,10.30895266,8.079549192,17,29,1,0,1,0
0,8.041110482,9.903487553,6.907755279,16,25,0,0,0,0
2.01776306,8.517193191,8.517193191,8.517193191,12,37,1,0,1,0
0,7.843940242,8.006367568,7.567000942,6,42,0,0,0,0
3.401197382,6.907755279,8.9226583,7.313220387,8,28,1,0,1,1
1.098612289,8.114275037,9.618025215,6.907755279,9,59,1,0,0,0
2.708050201,8.041110482,9.903487553,6.907755279,12,18,0,0,1,1
3.576712969,6.502290206,9.903487553,6.907755279,22,32,1,0,1,1
2.995732274,7.60090246,8.517193191,8.517193191,11,43,0,0,1,1
1.150378654,7.843940242,9.141139854,7.567000942,12,42,1,1,1,1
0.693147181,7.843940242,9.141139854,7.567000942,12,26,0,0,1,1
2.42474237,8.125554773,8.9226583,6.907755279,13,21,1,0,1,1
3.401197382,8.041110482,9.903487553,6.907755279,18,30,1,0,1,1
5.480638923,6.725433694,8.006367568,8.010064426,12,31,1,0,0,0
3.688879454,8.006367568,9.721165956,7.567000942,14,22,1,1,1,0
4.105039896,8.517193191,8.517193191,8.517193191,18,29,0,1,0,1
3.465735903,8.9226583,8.517193191,8.517193191,18,33,0,0,1,1
4.025351691,8.006367568,9.123329031,6.907755279,12,22,1,0,1,0
5.480638923,8.804875239,10.30895266,8.079549192,14,23,0,0,0,0
0,6.907755279,9.123329031,6.907755279,15,23,0,0,1,1
3.688879454,9.210340372,10.30895266,8.079549192,18,25,0,0,1,1
2.079441542,7.835238501,9.952277717,8.079549192,19,25,0,1,0,0
4.74542253,8.006367568,9.210340372,6.907755279,10,28,1,0,0,0
4.972959595,6.907755279,7.60090246,8.010064426,9,44,1,0,1,0
4.787491743,6.907755279,8.890943734,8.010064426,12,46,1,0,1,0
2.772588722,8.517193191,8.793701995,8.2280285,3,42,0,1,1,0
3.401197382,7.313220387,8.872533936,8.354674262,12,38,1,0,1,0
2.995732274,8.006367568,8.517193191,8.29404964,4,33,0,0,1,1
3.401197382,6.502290206,9.618025215,6.907755279,14,38,1,0,1,1
1.791759469,8.09914925,8.517193191,8.2280285,12,21,1,1,1,1
0,8.448200284,8.793701995,9.210340372,12,22,0,0,0,1
1.386294361,7.457354266,9.721165956,7.567000942,16,22,0,0,1,1
0.141970285,6.907755279,9.53811691,6.907755279,19,29,0,1,1,0
4.164428321,8.29404964,9.242373877,8.517193191,12,56,1,1,1,1
0,8.29404964,9.618025215,6.907755279,12,33,1,0,1,0
2.88558867,8.29404964,10.02127059,8.079549192,18,39,0,0,1,1
5.480638923,7.755308178,8.9767255,7.60090246,17,47,0,0,1,1
1.386294361,6.907755279,10.30895266,8.079549192,15,20,1,1,0,0
3.465735903,7.718685495,10.30895266,8.079549192,15,23,1,0,1,1
5.480638923,7.824046011,9.903487553,8.079549192,10,22,0,0,1,1
3.836515531,6.907755279,7.824046011,7.313220387,1,56,1,0,0,0
4.76953829,8.111728073,10.02127059,8.079549192,17,30,0,0,1,0
3.152119508,8.751386556,10.30895266,8.079549192,0,28,1,0,1,1
0,7.522940918,9.558647019,7.941730268,17,35,0,0,1,1
0.851515681,7.975712018,9.224133705,7.60090246,15,29,0,0,1,1
2.079441542,8.041110482,9.903487553,6.907755279,18,29,0,1,1,0
2.48490665,8.006367568,10.02127059,8.079549192,16,23,0,0,1,1
4.787491743,8.111728073,9.952277717,8.079549192,21,33,0,1,1,1
2.079441542,8.006367568,10.02127059,8.079549192,9,20,0,0,1,0
3.871201011,8.804875239,9.210340372,7.567000942,18,44,0,1,1,1
1.072911125,7.60090246,9.558647019,8.2280285,12,25,0,0,0,1
3.871201011,7.60090246,9.242373877,8.334871595,7,38,0,0,0,1
4.787491743,8.111728073,8.793701995,8.2280285,14,23,1,0,1,1
3.407028348,8.642356305,9.36449108,7.418580863,15,29,0,0,1,0
1.76766201,8.517193191,9.224133705,7.60090246,14,27,1,0,1,1
5.81711116,6.571283036,7.60090246,8.079549192,6,30,0,0,1,1
2.454135022,7.824046011,9.903487553,6.907755279,13,30,0,0,1,1
5.298317367,7.814406823,9.242373877,8.334871595,12,22,1,0,0,1
1.185781939,8.041110482,9.903487553,6.907755279,12,23,0,1,1,0
1.386294361,7.84750856,8.890943734,8.010064426,12,19,1,1,1,1
0,7.60090246,8.872533936,8.354674262,12,24,1,1,1,0
0.896194794,6.214608098,9.210340372,7.567000942,17,30,0,1,1,0
3.401197448,7.313220387,9.721165956,7.567000942,12,32,1,0,1,1
1.609437912,6.907755279,8.699514748,7.824046011,3,57,1,0,0,0
1.817077301,7.60090246,9.224133705,7.60090246,12,27,1,0,1,1
2.772588722,8.517193191,8.517193191,8.517193191,2,18,1,1,1,1
4.382026635,7.824046011,8.517193191,8.2280285,10,23,1,0,1,1
1.985896874,7.830305778,8.793701995,8.2280285,9,52,1,0,1,1
2.302585093,7.60090246,9.618025215,6.907755279,15,29,1,1,1,1
0,6.873853751,9.903487553,6.907755279,17,48,0,0,1,1
1.098612289,8.041110482,9.903487553,6.907755279,12,20,0,1,1,0
1.386294361,8.18030418,9.335503486,7.929406535,19,38,0,1,1,1
0,8.125554773,9.123329031,6.907755279,17,55,0,0,1,1
0,6.907755279,9.53811691,6.907755279,19,24,0,1,1,1
0,7.843940242,9.141139854,7.567000942,8,65,0,0,0,1
2.48490665,7.755308178,8.9767255,7.60090246,16,60,0,1,1,1
0,6.907755279,9.53811691,6.907755279,17,27,0,0,1,0
1.087682307,8.18030418,9.335503486,7.929406535,14,29,1,0,1,1
1.386294361,8.114275037,9.618025215,6.907755279,9,21,1,1,1,1
3.218875905,7.195437401,9.210340372,6.907755279,14,60,1,0,0,0
0,8.041110482,9.903487553,6.907755279,7,31,0,0,0,1
0.693147181,8.125554773,9.123329031,6.907755279,17,30,0,0,1,1
0,7.513891119,9.13109105,7.929406535,17,25,0,0,1,1
2.397895273,9.115030204,9.903487553,6.907755279,17,40,0,0,1,1
0,8.125554773,9.123329031,6.907755279,18,24,1,0,1,1
3.401197382,7.418580863,9.13109105,7.929406535,17,29,0,1,1,0
4.094344562,7.888584544,9.123329031,6.907755279,18,29,0,1,1,1
0,7.716971583,8.911485044,6.987797956,12,29,0,1,1,1
2.578838456,7.457218677,9.13109105,8.334871595,8,37,0,0,1,1
5.634789603,7.755308178,8.9767255,7.60090246,6,42,1,0,1,1
1.061824196,7.824046011,9.13109105,7.929406535,18,26,1,0,0,1
1.150980235,6.214608098,9.335503486,7.929406535,17,27,1,1,1,0
3.043550108,8.740336743,9.13109105,7.929406535,17,34,0,0,1,1
5.075173815,6.214608098,9.903487553,6.907755279,17,32,1,0,0,0
5.480638923,6.820743927,9.210340372,7.929406535,17,24,1,1,1,1
1.532586349,7.824046011,9.13109105,7.929406535,19,34,0,0,1,1
1.454870439,8.18030418,9.335503486,7.929406535,16,23,0,0,0,0
4.874503189,6.502290206,8.9767255,7.60090246,12,20,1,0,0,0
4.028095263,7.13089883,9.105821302,7.418580863,12,57,0,0,1,1
0.619039393,7.513891119,9.13109105,7.929406535,13,18,0,0,1,1
4.28881557,7.755308178,8.9767255,7.60090246,14,25,0,0,1,1
2.915689433,6.907755279,8.911485044,6.987797956,14,21,1,0,1,1
2.772588722,7.824046011,8.9767255,7.60090246,19,40,0,0,1,0
0.811128552,7.755308178,8.9767255,7.60090246,14,27,0,0,1,1
3.401197382,8.517193191,8.911485044,6.907755279,6,59,1,0,0,0
2.109944983,7.513891119,9.13109105,7.929406535,24,35,0,0,1,1
1.386294361,7.755308178,8.9767255,7.60090246,13,23,1,0,1,1
2.497056128,7.755308178,8.9767255,7.60090246,13,25,0,0,1,1
1.386294361,7.60090246,9.13109105,7.929406535,14,25,0,1,1,1
0.607462269,7.457218677,9.13109105,8.334871595,12,56,1,1,1,0
2.48490665,8.642356305,9.210340372,7.567000942,8,23,0,1,0,1
3.17805383,8.517193191,8.411832676,8.2280285,12,50,0,1,0,1
2.302585093,7.60090246,8.517193191,7.567000942,13,18,1,0,1,0
2.48490665,8.29404964,8.006367568,8.2280285,8,15,1,0,1,1
4.364651101,8.006367568,8.890943734,8.010064426,13,20,1,1,1,0
1.386294361,8.517193191,8.006367568,8.2280285,12,26,0,0,1,1
1.386294361,7.457354266,9.721165956,7.567000942,16,32,0,1,0,0
5.480638923,7.963807953,8.699514748,8.354674262,12,23,1,0,1,1
2.995732274,7.457354266,9.721165956,7.567000942,12,27,0,1,1,1
3.465735903,6.843216758,8.890943734,8.010064426,13,31,1,0,0,0
1.197517484,7.84750856,8.890943734,8.010064426,9,31,1,0,1,1
4.094344562,8.111728073,9.105821302,7.418580863,17,39,1,0,0,1
4.248495242,6.43775165,8.411832676,8.2280285,10,27,1,1,1,0
5.474207998,8.363042538,8.9226583,8.2280285,12,24,0,0,1,1
0,7.274380593,9.558647019,8.2280285,10,40,0,1,1,1
5.480638923,6.214608098,9.952277717,8.079549192,17,29,0,0,1,0
4.787491743,8.517193191,8.411832676,7.418580863,12,33,0,0,1,1
0,8.006367568,8.006367568,7.567000942,17,21,0,1,1,0
4.787491743,6.214608098,8.517193191,8.2280285,11,36,1,0,1,1
3.984343667,8.160518247,9.242373877,8.334871595,6,42,1,0,1,0
3.465735903,8.117958643,10.02127059,8.079549192,10,20,1,0,1,0
0.693147181,7.835238501,9.952277717,8.079549192,18,38,0,0,1,1
5.075173815,7.718685495,7.824046011,7.313220387,9,33,1,0,1,1
0,7.84750856,7.824046011,8.010064426,12,43,1,0,1,1
3.850722394,7.418580863,8.699514748,8.010064426,10,22,1,0,1,0
2.079441542,8.09914925,8.517193191,8.2280285,18,25,0,0,0,0
5.075173815,7.13089883,7.60090246,8.29404964,6,43,0,0,0,0
0,8.517193191,8.793701995,8.2280285,3,63,0,1,0,1
5.480638923,7.60090246,9.224133705,7.60090246,15,36,1,0,0,1
1.32175584,6.502290206,8.699514748,8.354674262,16,28,0,0,1,0
6.384630918,7.843940242,9.141139854,7.567000942,12,23,0,0,1,0
0,7.835238501,9.952277717,8.079549192,13,22,0,0,1,1
0,7.457354266,9.721165956,7.567000942,12,22,0,0,1,0
1.277807436,8.29404964,9.210340372,8.2280285,12,43,1,0,0,1
3.401197382,8.111728073,8.872533936,8.354674262,15,30,0,0,1,1
4.094344562,6.502290206,9.970626861,7.60090246,10,20,1,0,1,1
2.079441542,6.907755279,7.824046011,7.313220387,6,62,1,0,1,1
4.094344562,8.006367568,8.006367568,8.2280285,6,18,1,1,1,1
1.386294361,7.313220387,9.558647019,8.2280285,14,27,1,0,1,0
0,8.09914925,8.517193191,8.2280285,11,16,0,0,1,0
0,8.09914925,8.517193191,8.2280285,12,19,1,0,1,1
1.386294361,7.671283241,9.141139854,7.60090246,16,21,0,1,1,1
0,8.491875383,9.105821302,7.418580863,14,24,0,0,1,1
2.48490665,8.804875239,8.160518247,7.418580863,13,24,0,0,1,1
1.048034142,8.114275037,9.618025215,6.907755279,13,38,1,0,1,0
2.995732274,8.29404964,9.224133705,7.60090246,14,34,1,0,1,1
2.302585093,8.29404964,9.224133705,7.60090246,13,43,1,0,0,0
0,8.111728073,7.824046011,7.418580863,13,21,0,0,1,0
5.991464547,7.60090246,8.793701995,8.2280285,8,25,0,0,1,0
0,6.907755279,9.510444964,7.418580863,13,17,0,0,0,0
2.708050201,7.60090246,8.517193191,8.2280285,11,19,0,1,0,0
3.261674131,7.755053125,8.111728073,7.418580863,14,25,0,0,1,1
0.405465108,7.313220387,9.105821302,7.418580863,14,30,0,0,1,1
1.386294361,9.210340372,9.903487553,6.907755279,12,42,1,0,1,0
5.075173815,7.313220387,9.105821302,6.907755279,17,29,1,0,1,1
5.199202307,6.502290206,9.224133705,7.60090246,12,31,0,0,1,1
4.798265497,7.60090246,8.890943734,8.010064426,7,40,1,0,0,1
4.382026635,6.214608098,9.141139854,7.567000942,13,26,0,0,1,1
0,8.114275037,9.618025215,6.907755279,11,15,1,1,1,1
4.382026635,6.907755279,8.793701995,8.2280285,9,14,1,0,0,0
0,7.60090246,9.141139854,7.567000942,17,27,0,0,1,1
4.787491909,6.502290206,9.903487553,7.567000942,17,32,1,0,1,1
0,7.755053125,9.123328922,7.941730268,15,21,1,1,1,1
0,8.114275037,9.618025215,6.907755279,11,18,0,1,1,0
0,8.114275037,9.618025215,6.907755279,14,28,1,1,1,1
1.386294361,7.60090246,9.210340372,8.2280285,12,42,0,0,1,1
4.094344562,6.502290206,9.105821302,7.418580863,13,38,0,0,1,1
3.17805383,7.061905902,9.210340372,8.2280285,12,19,1,1,1,0
0,8.195609567,9.105821302,7.418580863,14,27,0,1,1,0
3.401197382,6.502290206,9.224133705,7.60090246,15,55,1,0,1,1
3.17805383,7.835238501,9.952277717,8.079549192,15,21,0,1,1,1
1.386294361,8.111728073,7.824046011,7.418580863,17,49,0,0,1,1
4.094344562,8.111728073,9.210340372,8.2280285,6,20,0,0,1,1
1.386294361,8.517193191,9.105821302,7.418580863,12,55,0,1,0,1
1.386294361,8.006367568,8.006367568,7.567000942,14,24,1,0,0,1
3.688879454,8.517193191,9.433483923,8.010064426,11,32,1,0,0,0
3.359049474,7.418580863,8.890943734,8.010064426,10,27,0,0,1,1
0,7.13089883,9.105821302,7.418580863,14,28,0,1,0,1
2.151886998,8.125554773,9.123329031,6.907755279,18,25,0,0,1,1
0.470003879,7.513891119,9.13109105,7.929406535,17,24,0,0,1,1
4.787491743,7.36728765,7.824046011,7.313220387,8,18,0,0,1,1
4.787491743,8.006367568,9.224133705,7.60090246,12,54,1,0,0,0
5.064307553,6.802394763,8.890943734,8.010064426,8,37,1,0,0,1
1.386294361,7.975712018,9.224133705,7.60090246,12,36,0,0,1,1
3.688879454,7.60090246,8.9226583,7.313220387,18,23,0,1,1,1
0.986588884,6.907755279,8.853665428,8.2280285,10,21,0,1,1,1
4.234630251,7.60090246,8.890943734,8.010064426,12,33,1,0,1,1
3.401197382,6.907755279,9.141139854,7.567000942,12,23,0,0,1,1
3.17805383,7.99939891,9.970626861,7.60090246,8,19,1,0,0,1
0,8.006367568,8.517193191,7.567000942,8,57,0,0,0,0
0.575363876,7.68094509,8.793701995,7.60090246,6,30,1,0,1,1
2.995732274,7.313220387,9.210340372,7.567000942,15,31,1,0,1,1
0.360127377,8.125554773,9.123329031,6.907755279,13,20,1,0,0,1
0,7.755308178,8.9767255,7.60090246,14,21,0,0,1,1
2.995732274,8.18030418,9.335503486,7.929406535,6,63,0,0,1,1
3.820531886,8.581731744,9.123329031,6.907755279,17,35,1,0,1,0
0.499741238,8.29404964,9.123329031,6.907755279,17,30,0,0,1,1
4.863477463,7.418580863,8.9226583,7.313220387,17,29,0,0,1,1
3.752004641,7.195437401,9.123329031,6.907755279,17,26,1,0,0,0
2.42474237,8.125554773,9.123329031,6.907755279,14,28,1,0,1,1
1.344668789,8.125554773,9.123329031,6.907755279,8,15,1,0,1,1
0,7.236259354,8.9226583,7.567000942,17,27,0,0,1,1
5.480638923,6.725433694,9.576965617,7.941730268,17,42,0,0,1,1
1.771594975,8.517193191,9.210340372,7.567000942,12,25,0,0,1,1
2.079441542,7.814406823,9.242373877,8.334871595,17,23,1,1,1,1
0,7.694588002,8.9226583,8.2280285,2,48,1,0,0,0
0.661750369,6.907755279,9.721165956,7.567000942,12,29,0,0,1,1
2.642783095,8.699514748,9.210340372,7.567000942,18,28,0,1,0,1
2.772588722,7.824046011,8.804875239,6.907755279,15,40,1,0,1,0
3.021041672,7.877155784,9.970626861,7.60090246,12,24,0,1,1,1
2.302585093,7.60090246,8.793701995,8.2280285,11,19,1,0,1,1
3.752004641,7.195437401,9.123329031,6.907755279,17,30,0,1,1,1
4.320268259,6.348139524,9.123329031,6.907755279,12,29,1,0,1,1
1.386294361,8.111728073,7.824046011,7.418580863,12,16,0,0,1,1
2.079441542,8.753581917,9.210340372,7.567000942,8,16,1,0,1,1
0.63497629,8.125554773,9.123329031,6.907755279,13,24,0,0,1,1
2.079441542,7.835238501,9.952277717,8.079549192,16,43,0,0,1,0
2.392358427,7.975712018,9.224133705,7.60090246,14,30,0,0,1,1
4.105118283,7.60090246,8.890943734,8.010064426,15,22,1,1,1,1
1.982633419,7.975712018,9.224133705,7.60090246,12,56,0,1,1,1
2.708050201,8.358588122,8.517193191,8.29404964,6,23,1,0,1,1
3.688879454,8.517193191,8.517193191,7.418580863,14,21,0,1,1,1
2.48490665,8.041110482,9.903487553,6.907755279,17,34,1,0,1,1
5.634789603,7.264430203,9.952277717,8.079549192,12,26,1,0,1,1
4.094344562,6.214608098,8.9226583,8.2280285,3,44,1,0,1,1
1.386294361,7.313220387,9.210340372,7.567000942,12,22,0,0,1,1
3.507052225,8.006367568,9.224133705,7.60090246,6,30,0,1,1,1
2.48490665,7.418580863,9.210340372,6.907755279,12,25,0,0,1,1
4.787491743,6.907755279,9.224133705,7.60090246,12,27,0,0,1,1
1.386294361,8.041110482,9.903487553,6.907755279,14,37,0,0,1,1
3.999965657,7.195437401,9.903487553,6.907755279,17,34,0,0,1,1
0.693147181,9.210340372,9.335503486,7.929406535,14,54,0,0,1,1
2.951194844,7.755308178,8.9767255,7.60090246,16,25,0,0,1,1
3.401197382,6.907755279,9.13109105,8.334871595,16,20,0,0,1,1
4.094344562,6.502290206,8.911485044,6.987797956,15,27,1,0,1,1
4.361213218,8.111728073,9.242373877,8.334871595,12,21,1,0,1,1
0,7.84750856,8.890943734,8.010064426,16,27,0,1,0,0
3.624340933,7.888584544,9.903487553,6.907755279,16,40,0,0,1,1
5.075173815,8.006367568,8.890943734,8.010064426,12,30,0,0,0,1
0,7.843940242,9.141139854,7.567000942,16,27,0,0,1,1
0,7.863266724,9.498022419,7.418580863,10,41,1,0,0,1
2.708050201,8.041110482,9.903487553,6.907755279,13,35,1,0,1,1
4.332123334,7.60090246,9.970626861,7.60090246,12,25,1,0,1,1
2.995732274,7.84750856,8.890943734,8.010064426,14,29,1,0,1,1
0,7.915983491,8.9226583,7.418580863,18,27,0,1,1,1
4.392368782,6.907755279,8.9226583,7.418580863,10,30,0,0,1,1
3.31039501,6.620073207,9.558647019,7.941730268,10,30,0,0,0,1
5.125238643,6.774223886,9.558647019,7.941730268,14,27,0,0,1,1
3.503737032,9.210340372,8.29404964,8.010064426,12,24,1,0,0,1
4.787491743,6.907755279,8.517193191,7.567000942,12,23,1,0,1,0
5.075173815,7.313220387,9.952277717,8.079549192,17,35,0,0,1,0
3.688879454,7.84750856,9.680344001,8.010064426,12,30,0,0,0,0
0,7.84750856,8.890943734,8.010064426,10,43,1,1,1,1
2.708050201,8.29404964,8.793701995,9.210340372,12,35,1,0,1,1
5.480638923,7.418580863,9.210340372,6.907755279,6,20,0,0,1,1
5.557507599,8.257681981,9.618025215,6.907755279,12,27,1,0,1,1
2.079441542,8.671343814,8.517193191,8.517193191,13,45,1,0,1,1
1.098612289,7.60090246,8.9767255,7.60090246,12,23,0,0,1,1
2.708050201,7.60090246,9.224133705,7.60090246,12,29,0,0,1,1
1.196250756,9.210340372,9.224133705,7.60090246,14,29,0,0,1,1
4.471638965,6.288716092,8.517193191,7.313220387,12,34,1,0,0,0
1.386294361,7.755308178,8.9767255,7.60090246,9,14,0,0,1,0
3.688879454,8.29404964,9.123329031,6.907755279,6,47,0,0,1,1
1.294275477,8.517193191,9.123329031,6.907755279,12,22,0,0,1,1
4.787491743,8.111728073,8.29404964,7.418580863,10,26,0,0,1,1
1.17696896,7.68094509,8.793701995,7.60090246,14,23,0,0,1,1
3.80666249,6.789972278,9.242373877,8.334871595,9,18,1,0,1,0
0.693147181,7.523124739,8.9226583,7.418580863,12,19,0,1,1,1
